# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 15-Mar-2026 18:34:44

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.046±0.033,2323.07±127.16,0.046±0.033,271±173,0.469±0.037
RRT_Connect_Basic,100.0,0.012±0.006,2145.80±97.67,0.012±0.006,70±10,0.497±0.064
RRT_Star_Basic,100.0,0.166±0.276,1969.06±18.73,13.387±1.675,3857±98,0.293±0.079
Informed_RRT_Star_Basic,100.0,0.215±0.124,2034.17±95.19,2.083±0.418,3855±97,0.191±0.052
SC_RRT_Basic,100.0,0.038±0.014,2004.27±61.58,0.038±0.014,209±34,0.162±0.133
Dynamic_RRT_Basic,100.0,0.056±0.058,2286.43±130.45,0.056±0.058,301±198,0.463±0.040

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
SC_RRT_Basic,227,1,0.028,2007.38,0.028,171,0.243
Dynamic_RRT_Basic,228,1,0.280,2303.86,0.280,1172,0.512
RRT_Basic,229,1,0.033,2205.88,0.033,139,0.418
RRT_Connect_Basic,230,1,0.019,2233.60,0.019,79,0.624
RRT_Star_Basic,231,1,0.073,1963.63,10.518,3858,0.329
Informed_RRT_Star_Basic,232,1,0.097,1945.55,2.219,3920,0.131
SC_RRT_Basic,233,1,0.027,1999.77,0.027,180,0.332
Dynamic_RRT_Basic,234,1,0.013,2214.66,0.014,158,0.446
RRT_Basic,235,1,0.020,2133.48,0.021,191,0.419
RRT_Connect_Basic,236,1,0.009,2204.42,0.009,79,0.444
RRT_Star_Basic,237,1,0.089,1965.78,11.487,3840,0.247
Informed_RRT_Star_Basic,238,1,0.531,2032.26,1.473,3651,0.207
SC_RRT_Basic,239,1,0.024,1976.79,0.024,208,0.229
Dynamic_RRT_Basic,240,1,0.064,2329.21,0.064,471,0.525
RRT_Basic,241,1,0.059,2333.18,0.059,546,0.476
RRT_Connect_Basic,242,1,0.008,2047.20,0.008,74,0.440
RRT_Star_Basic,243,1,0.040,1976.35,10.824,3975,0.354
Informed_RRT_Star_Basic,244,1,0.154,2079.23,1.520,3810,0.260
SC_RRT_Basic,245,1,0.025,1941.01,0.025,154,0.077
Dynamic_RRT_Basic,246,1,0.037,2252.84,0.038,317,0.462
RRT_Basic,247,1,0.012,2191.66,0.012,112,0.460
RRT_Connect_Basic,248,1,0.007,2065.60,0.007,60,0.450
RRT_Star_Basic,249,1,0.038,1987.97,11.615,3817,0.360
Informed_RRT_Star_Basic,250,1,0.091,1967.65,1.929,3878,0.159
SC_RRT_Basic,251,1,0.057,1964.86,0.057,228,0.253
Dynamic_RRT_Basic,252,1,0.021,2405.58,0.022,222,0.454
RRT_Basic,253,1,0.018,2256.23,0.018,133,0.461
RRT_Connect_Basic,254,1,0.006,2061.87,0.006,58,0.526
